"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Digital Ground Station","https://www.usgbc.org/projects/digital-ground-station","","Bourne","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"1414 Massachusetts Avenue","https://www.usgbc.org/projects/1414-massachusetts-avenue","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"TFI-cNAF Beddown","https://www.usgbc.org/projects/tfi-cnaf-beddown","","Bourne","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"745 Atlantic Avenue","https://www.usgbc.org/projects/745-atlantic-avenue","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"150 Second St., Cambridge","https://www.usgbc.org/projects/150-second-st-cambridge","","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"7-9 Channel Center","https://www.usgbc.org/projects/7-9-channel-center","","Boston","Massachusetts [MA]","United States [us]","Core and Shell","v2009",""
"400 Crown Colony","https://www.usgbc.org/projects/400-crown-colony","","Quincy","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"75 Station Landing, Medford","https://www.usgbc.org/projects/75-station-landing-medford","25 Feb 2010","Medford","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"WSP FK  Boston","https://www.usgbc.org/projects/wsp-fk-boston","11 Jul 2012","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Silver"
"EMD Serono Research Institute","https://www.usgbc.org/projects/emd-serono-research-institute","7 Mar 2011","Billerica","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Harvard Holyoke Center Floor 4/College","https://www.usgbc.org/projects/harvard-holyoke-center-floor-4college","19 May 2010","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"690 Canton Street","https://www.usgbc.org/projects/690-canton-street","","Westwood","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"MITRE Center","https://www.usgbc.org/projects/mitre-center","28 Oct 2005","Bedford","Massachusetts [MA]","United States [us]","New Construction","v2.0","Silver"
"Harvard Divinity School Rockefeller Hall","https://www.usgbc.org/projects/harvard-divinity-school-rockefeller-hall","6 Nov 2009","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"144 Turnpike","https://www.usgbc.org/projects/144-turnpike","","Southborough","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"161 Worcester Road","https://www.usgbc.org/projects/161-worcester-road-0","","Framingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Framingham Corporate Center","https://www.usgbc.org/projects/framingham-corporate-center","","Framingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"959 Concord Street","https://www.usgbc.org/projects/959-concord-street-0","","Framingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Terminal 'A' Redevelopment","https://www.usgbc.org/projects/terminal-redevelopment","22 Jun 2006","East Boston","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"Boston Cargo Terminal Building A","https://www.usgbc.org/projects/boston-cargo-terminal-building","","Boston","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"Burlington 400","https://www.usgbc.org/projects/burlington-400","27 Apr 2010","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Certified"
"1033 Mass Ave","https://www.usgbc.org/projects/1033-mass-ave","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Shire 185 Alewife","https://www.usgbc.org/projects/shire-185-alewife","27 Aug 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
"A.T. Kearney Cambridge Office","https://www.usgbc.org/projects/kearney-cambridge-office","23 Oct 2008","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
