,Path,Certification date,City,State,Country,Rating system,Version,Certification level
PA - Snyder Center,https://www.usgbc.org/projects/pa-snyder-center,30-May-18,Andover,Massachusetts [MA],United States [us],New Construction,v2009,Platinum
FAS Cabot Library,https://www.usgbc.org/projects/fas-cabot-library,4-Dec-17,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v4,Certified
ICVN Age Unrestricted,https://www.usgbc.org/projects/icvn-age-unrestricted-1,9-Apr-18,Duxbury,Massachusetts [MA],United States [us],Homes,v2008,Gold
ICVN Age Unrestricted,https://www.usgbc.org/projects/icvn-age-unrestricted-0,9-Apr-18,Duxbury,Massachusetts [MA],United States [us],Homes,v2008,Gold
ICVN Age Unrestricted,https://www.usgbc.org/projects/icvn-age-unrestricted,9-Apr-18,Duxbury,Massachusetts [MA],United States [us],Homes,v2008,Gold
One Channel Center,https://www.usgbc.org/projects/one-channel-center-0,12-Oct-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Wellington 100 Federal 6th & 7th Floors,https://www.usgbc.org/projects/wellington-100-federal-6th-7th-floors,26-Jun-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
200 Highland,https://www.usgbc.org/projects/200-highland,14-Feb-17,Somerville,Massachusetts [MA],United States [us],Homes,v2008,Gold
TD Bank - Burlington MA - NEEP,https://www.usgbc.org/projects/td-bank-burlington-ma-neep,15-Mar-17,Burlington,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Gold
160 Federal,https://www.usgbc.org/projects/160-federal,26-Sep-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Platinum
375 Market Street,https://www.usgbc.org/projects/375-market-street-0,11-Jan-16,Brighton,Massachusetts [MA],United States [us],Homes,v2008,Silver
109091 125 High St Flrs 14 + 15,https://www.usgbc.org/projects/109091-125-high-st-flrs-14-15,21-Sep-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Williams College Bookstore,https://www.usgbc.org/projects/williams-college-bookstore,16-Feb-18,Williamstown,Massachusetts [MA],United States [us],New Construction,v2009,Platinum
40 Erie Street,https://www.usgbc.org/projects/40-erie-street,18-May-17,Cambridge,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
ICVN Age Restrcted - Beacon Communities,https://www.usgbc.org/projects/icvn-age-restrcted-beacon-communities,5-Apr-18,Duxbury,Massachusetts [MA],United States [us],Mid-rise,v2008,Silver
Wolverine Worldwide,https://www.usgbc.org/projects/wolverine-worldwide,22-Dec-16,Waltham,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Chick-Fil-A-Cochituate Rd,https://www.usgbc.org/projects/chickfilacochituate-rd,28-Jun-16,Framingham,Massachusetts [MA],United States [us],Retail - New Construction,v2009,Certified
Boylston MA,https://www.usgbc.org/projects/boylston-ma,27-Sep-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
"Suffolk University, Sargent Hall 5th flr",https://www.usgbc.org/projects/suffolk-university-sargent-hall-5th-flr,25-Jan-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
200 Sidney Street,https://www.usgbc.org/projects/200-sidney-street,9-May-17,Cambridge,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
EMA Drydock Office,https://www.usgbc.org/projects/ema-drydock-office,3-Mar-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
Worcester State University Wellness Cntr,https://www.usgbc.org/projects/worcester-state-university-wellness-cntr,3-Nov-17,Worcester,Massachusetts [MA],United States [us],New Construction,v2009,Gold
